State,Year,Active Listing Count,Avg Listing Price
AK,2012,26495.0,301629.2490118577
AL,2012,312875.0,193571.34502923978
AR,2012,148267.0,190982.72373540857
AZ,2012,255573.0,274091.164453524
CA,2012,815351.0,584730.6054478411
CO,2012,294914.0,448192.82720074523
CT,2012,242581.0,497561.36363636365
DC,2012,16116.0,626075.6578947369
DE,2012,73950.0,301246.85138539044
FL,2012,1316402.0,321932.09281301795
GA,2012,658385.0,234588.3184309201
HI,2012,58918.0,845203.8901601831
IA,2012,120401.0,181770.39937353172
ID,2012,111745.0,306117.9347826087
IL,2012,699661.0,225672.90139512887
IN,2012,342352.0,161708.53425181782
KS,2012,110513.0,190897.339055794
KY,2012,193352.0,193294.50479233227
LA,2012,149574.0,211846.0164835165
MA,2012,271769.0,508761.2211757064
MD,2012,247826.0,364808.5741354808
ME,2012,121274.0,289625.8181818182
MI,2012,556540.0,187715.60866318148
MN,2012,219894.0,243439.6246089677
MO,2012,344830.0,187881.78452425028
MS,2012,116544.0,190851.0162601626
MT,2012,91531.0,409962.22222222225
NC,2012,730037.0,264400.1493280239
ND,2012,13904.0,256438.09523809524
NE,2012,45881.0,178766.9887278583
NH,2012,119091.0,290854.1420118343
NJ,2012,593838.0,452909.4518442623
NM,2012,91101.0,322977.16049382713
NV,2012,198277.0,338565.91194968554
NY,2012,684194.0,447639.07302258024
OH,2012,603232.0,165322.26832641772
OK,2012,154709.0,182585.8848314607
OR,2012,188849.0,329540.233614536
PA,2012,651455.0,236598.6118251928
RI,2012,54175.0,413670.53571428574
SC,2012,379158.0,266452.8735632184
SD,2012,29483.0,226414.86486486485
TN,2012,428204.0,229707.37588652482
TX,2012,960583.0,252205.37129045255
UT,2012,134958.0,325106.0479666319
VA,2012,410952.0,352416.9552074746
VT,2012,56094.0,323426.58898305084
WA,2012,235945.0,371956.31313131313
WI,2012,394779.0,223437.32473359507
WV,2012,56881.0,196508.76979293543
WY,2012,31375.0,386889.86486486485
AK,2013,36704.0,307276.6404199475
AL,2013,446006.0,194359.15060072645
AR,2013,234216.0,189457.9192546584
AZ,2013,395513.0,299181.98478561547
CA,2013,1000271.0,661475.3259141494
CO,2013,386482.0,475403.61596009973
CT,2013,333513.0,506605.15873015876
DC,2013,20947.0,702318.4210526316
DE,2013,99753.0,298860.2368866328
FL,2013,1864163.0,339958.4213172448
GA,2013,1012294.0,243734.93882307244
HI,2013,76618.0,921648.6111111111
